"cc_iso3c","var","value","group","ord"
"USA","rank_75",NA,1,9
"USA","rank_2017",11,1,10
"USA","sens_cap1",0.74,2,11
"USA","sens_cap2",0.741,2,12
"USA","sens_2015",0.735,2,13
"USA","sens_2016",0.731,2,14
"USA","rank_cap1",11,2,15
"USA","rank_cap2",11,2,16
"USA","rank_2015",11,2,17
"USA","rank_2016",10,2,18
"USA","sens_5050",0.754,3,19
"USA","sens_equal",0.787,3,20
"USA","sens_dqa",0.722,3,21
"USA","sens_internal",0.724,3,22
"USA","sens_sum",0.781,3,23
"USA","rank_5050",11,3,24
"USA","rank_equal",10,3,25
"USA","rank_dqa",11,3,26
"USA","rank_internal",11,3,27
"USA","rank_sum",11,3,28
"USA","sens_rank",0.775,4,29
"USA","sens_rescale",0.737,4,30
"USA","sens_std",0.781,4,31
"USA","rank_rank",11,4,32
"USA","rank_rescale",11,4,33
"USA","rank_std",10,4,34
"USA","sens_allin",0.691,5,35
"USA","sens_midas",0.747,5,36
"USA","sens_rf",0.721,5,37
"USA","sens_mean",0.699,5,38
"USA","rank_allin",11,5,39
"USA","rank_midas",11,5,40
"USA","rank_rf",11,5,41
"USA","rank_mean",11,5,42
